Primary Energy Consumed by the Residential Sector,Total Energy Consumed by the Residential Sector,Primary Energy Consumed by the Commercial Sector,Total Energy Consumed by the Commercial Sector,Primary Energy Consumed by the Industrial Sector,Total Energy Consumed by the Industrial Sector,Primary Energy Consumed by the Transportation Sector,Total Energy Consumed by the Transportation Sector,Primary Energy Consumed by the Electric Power Sector
593.227,1180.761,334.828,861.946,1795.045,2543.088,1554.787,1557.822,1865.731
865.253,1605.626,474.188,1054.628,1963.527,2724.461,1699.994,1703.273,2085.025
1145.192,2037.891,598.217,1213.657,1891.91,2628.64,1569.717,1573.214,2248.365
1010.225,1742.925,521.585,1058.109,1519.065,2184.459,1490.778,1493.75,1937.589
843.13,1533.826,445.965,1001.867,1646.678,2383.021,1630.215,1633.336,1986.063
681.212,1294.481,359.443,879.979,1523.994,2224.421,1647.06,1649.936,1837.108
426.786,1009.215,228.973,783.439,1465.155,2206.428,1607.643,1610.761,1881.286
332.526,968.998,179.078,775.948,1481.185,2230.655,1599.434,1602.435,1985.813
297.513,1104.857,167.183,842.77,1506.7,2276.115,1609.88,1613.137,2255.603
288.456,1099.316,178.246,830.961,1561.854,2296.163,1589.819,1592.794,2200.859
335.39,1022.053,204.404,803.278,1525.442,2178.64,1544.621,1547.573,1941.688
410.105,1005.641,231.512,793.597,1674.699,2362.924,1563.52,1566.54,1848.866
563.214,1168.342,310.041,860.49,1660.337,2364.299,1583.369,1586.483,1862.653
812.927,1539.935,439.895,1018.715,1594.942,2279.362,1616.719,1619.863,1993.393
1112.526,1922.144,580.841,1170.237,1636.969,2307.397,1507.366,1511.252,2073.327
893.156,1580.016,474.705,992.963,1500.342,2123.766,1370.641,1374.025,1831.926
810.14,1490.168,434.001,989.125,1584.335,2279.943,1672.204,1675.889,1934.444
651.687,1273.99,357.878,874.034,1519.482,2188.932,1537.664,1540.887,1811.133
451.316,1034.261,242.057,784.674,1526.165,2262.386,1614.977,1618.355,1865.162
336.296,978.628,192.917,798.325,1476.043,2260.918,1638.745,1642.167,2036.037
296.461,1141.32,182.486,876.245,1498.866,2300.968,1620.916,1624.692,2344.494
294.629,1213.98,191.835,893.428,1536.959,2353.518,1663.509,1667.249,2441.243
297.488,1056.284,192.804,802.188,1516.529,2238.222,1603.331,1606.672,2093.214
363.019,976.307,227.98,800.678,1547.223,2310.584,1616.502,1619.832,1952.677
517.041,1130.908,308.368,867.582,1588.405,2360.477,1579.921,1583.394,1948.627
809.371,1625.005,454.841,1089.032,1615.947,2442.541,1708.329,1712.182,2280.271
1200.03,2129.572,629.189,1261.425,1903.291,2642.979,1619.193,1623.344,2305.616
935.095,1675.856,491.6,1054.985,1707.92,2418.941,1475.218,1478.84,2018.788
865.955,1589.806,462.728,1056.81,1783.16,2570.505,1642.998,1647.003,2109.281
677.707,1291.656,364.644,903.717,1713.246,2460.433,1622.215,1625.737,1903.732
484.98,1108.134,263.734,855.432,1700.608,2519.4,1693.894,1697.791,2037.542
348.43,1052.346,195.621,856.591,1602.28,2454.306,1662.312,1666.333,2220.934
311.54,1132.58,188.926,894.979,1623.718,2448.97,1677.717,1681.849,2356.478
312.346,1168.674,200.546,912.823,1648.252,2515.35,1723.121,1727.355,2439.937
322.161,1028.098,207.584,833.174,1572.42,2313.561,1587.621,1591.241,2076.288
384.254,1008.054,234.912,847.023,1654.86,2440.579,1664.646,1668.474,2025.458
548.468,1187.911,317.824,915.949,1608.097,2379.917,1615.697,1619.644,2013.334
820.949,1582.196,443.792,1052.454,1655.274,2408.154,1623.955,1627.965,2126.798
1038.664,1953.435,520.771,1187.349,1786.702,2591.591,1643.621,1647.801,2390.419
1105.351,1913.52,549.463,1127.949,1640.557,2337.967,1501.243,1504.787,2087.61
809.187,1516.21,409.438,994.251,1641.672,2395.138,1674.539,1678.228,2048.99
599.29,1206.396,302.316,868.993,1605.119,2355.024,1682.269,1685.978,1927.396
402.673,1014.664,210.6,836.259,1606.751,2428.082,1730.5,1734.382,2062.864
339.028,1035.519,176.102,839.208,1535.402,2349.195,1657.042,1660.861,2177.209
315.682,1149.519,176.884,912.32,1578.611,2407.347,1716.839,1720.91,2402.079
315.269,1156.849,180.473,907.194,1600.891,2425.344,1767.675,1771.71,2396.789
324.773,1064.453,188.288,839.351,1519.679,2264.185,1592.733,1596.404,2138.921
414.072,1055.261,232.13,859.413,1621.012,2400.529,1712.752,1716.489,2051.726
537.897,1180.795,295.854,912.821,1561.04,2329.738,1636.884,1640.877,2032.555
950.331,1795.12,491.346,1168.883,1743.078,2528.496,1725.37,1729.485,2311.86
1079.456,1981.74,558.282,1208.938,1820.646,2552.052,1652.815,1656.988,2288.518
944.488,1684.176,496.167,1084.682,1648.687,2347.777,1505.295,1509.074,2031.073
826.884,1539.834,425.672,1017.71,1731.222,2481.556,1740.552,1744.494,2059.263
563.26,1180.938,297.258,871.68,1598.219,2345.154,1718.976,1722.59,1942.65
429.552,1057.117,228.097,861.909,1611.23,2418.761,1765.977,1770.133,2073.064
324.679,1057.373,180.429,901.532,1526.697,2325.066,1730.903,1735.06,2256.323
306.932,1249.832,176.494,968.962,1482.7,2310.835,1817.214,1821.882,2568.17
306.457,1187.564,181.861,912.615,1520.808,2293.246,1825.88,1830.078,2388.496
313.691,1049.093,182.512,867.448,1469.769,2233.483,1665.849,1669.904,2188.107
399.736,1078.56,227.429,868.027,1534.478,2303.982,1787.709,1791.715,2092.932
559.769,1229.547,300.257,936.285,1497.139,2262.122,1689.695,1693.472,2074.566
852.497,1675.117,438.709,1110.799,1635.875,2399.26,1839.057,1843.4,2262.436
1012.932,1931.481,529.384,1206.352,1871.957,2615.353,1716.571,1720.934,2343.276
925.746,1681.156,489.3,1086.185,1666.641,2347.609,1612.861,1616.725,2037.128
818.442,1554.99,431.63,1054.327,1637.124,2389.077,1767.854,1771.882,2115.226
603.744,1250.069,318.181,913.464,1632.548,2374.998,1779.837,1783.711,1987.932
410.234,1079.592,223.906,900.659,1584.017,2395.457,1824.711,1828.945,2161.784
326.908,1112.209,182.765,924.903,1594.861,2432.019,1806.681,1811.055,2368.97
314.036,1268.777,186.235,988.738,1639.345,2489.109,1876.051,1880.589,2611.546
297.592,1271.368,176.639,962.391,1615.376,2450.339,1826.751,1831.196,2598.937
321.32,1079.85,199.802,891.913,1601.532,2381.24,1771.436,1775.383,2234.295
452.286,1104.985,261.461,922.516,1687.55,2483.461,1853.943,1857.96,2113.682
582.158,1243.133,323.157,960.669,1624.352,2416.203,1725.532,1729.639,2094.444
858.959,1686.844,452.069,1135.19,1797.286,2601.464,1856.546,1860.857,2319.495
1149.208,2133.93,574.874,1286.666,1786.205,2567.198,1810.703,1814.99,2481.795
1021.545,1859.792,527.806,1181.152,1751.242,2500.869,1766.131,1770.153,2245.242
854.493,1630.123,448.14,1107.737,1855.658,2643.031,1918.446,1922.493,2226.646
605.016,1260.376,322.488,951.389,1637.273,2403.707,1837.816,1841.677,2054.556
455.883,1108.817,247.486,923.512,1682.513,2519.327,1841.531,1845.667,2169.909
333.438,1121.331,200.952,973.082,1656.133,2529.722,1880.414,1884.918,2438.117
319.541,1312.656,204.134,1044.33,1655.534,2526.482,1858.447,1863.132,2708.943
316.005,1373.343,211.143,1064.653,1757.972,2651.49,1892.15,1896.835,2809.051
325.603,1116.235,204.256,924.294,1689.406,2480.476,1819.172,1823.307,2305.875
452.908,1134.134,258.954,949.334,1800.131,2618.111,1886.914,1891.139,2193.811
622.158,1317.127,336.266,1000.426,1748.798,2558.648,1829.199,1833.316,2173.096
901.408,1765.873,457.544,1172.96,1840.596,2675.79,1925.679,1930.081,2419.477
1035.835,1973.644,514.931,1235.342,1795.131,2615.321,1815.942,1820.321,2482.788
993.387,1848.448,502.963,1193.119,1688.064,2486.625,1702.561,1706.675,2347.891
909.774,1771.925,469.26,1188.077,1827.973,2657.164,1927.437,1931.806,2414.529
629.471,1340.074,333.649,1012.14,1688.894,2509.763,1802.713,1806.787,2214.039
458.244,1174.911,248.911,989.677,1688.573,2590.772,1881.657,1886.121,2364.096
353.698,1175.322,209.717,1013.791,1686.953,2594.632,1908.081,1912.731,2538.026
321.45,1320.879,197.929,1074.242,1669.151,2589.413,1867.655,1872.56,2800.908
331.343,1320.175,209.645,1077.756,1744.252,2674.484,1950.28,1955.11,2792.005
346.948,1181.204,208.361,979.483,1681.53,2525.555,1792.842,1797.178,2453.739
454.027,1183.524,252.679,996.054,1792.81,2680.079,1932.26,1936.706,2364.586
643.427,1382.059,346.582,1070.559,1767.414,2639.923,1848.402,1852.806,2339.522
1094.369,2118.194,551.58,1367.195,1850.329,2762.245,1994.914,1999.778,2756.22
998.242,2018.086,523.938,1270.04,1854.514,2657.92,1863.182,1867.461,2573.631
833.535,1639.671,449.567,1140.222,1668.02,2474.805,1750.403,1754.496,2307.669
739.796,1558.741,411.314,1150.566,1801.646,2676.452,1921.893,1926.195,2437.304
572.502,1299.575,335.56,1041.2,1763.034,2613.099,1815.174,1819.303,2286.906
411.281,1143.17,249.81,1019.43,1750.39,2666.977,1917.731,1922.291,2422.657
317.722,1195.523,216.192,1072.306,1675.923,2634.68,1850.393,1855.217,2697.495
288.175,1335.105,218.445,1130.331,1733.556,2668.523,1892.495,1897.637,2898.925
